Emma at Venice - Festival with talented Saoirse, film, premieres, red carpet
Jack in Market - Yara with patient Finn, list, checks, grocery shopping
Tina in Wagstaff - Jimmy with quirky Louise, burger, flips, dinner rush
Finn in Island - Kingdom with powerful Ice, crown, wears, winter curse
Harry on Hogwarts - Dumbledore with wise Snape, owl, flies, magic potion
Sophia at Club - Tom with lively Mark, song, sings, karaoke night
Zara in Lisbon - Hugo with adventurous Rafael, surfboard, carries, ocean wave
Scrooge in Duckburg - Donald with adventurous Louie, coin, collects, treasure hunt
Adele in Vienna - Bruno with joyful Daphne, piano, plays, evening concert
Ben in Bellwood - Gwen with clever Kevin, omnitrix, activates, alien transformation
Sophia in Workshop - Jack with handy Ben, project, builds, weekend task
Rhea in Athens - Niko with curious Eleni, olive, picks, grove visit
Leif in Stockholm - Ingrid with kind Sven, bread, bakes, cozy kitchen
Anya in Moscow - Sergei with calm Mikhail, chess, plays, park game
Samurai in Feudal - Japan with strong Aku, sword, strikes, epic battle
Anna in Mountain - Olaf with kind Sven, heart, warms, frozen curse
Zara on Bus - Amir with helpful Yara, seat, offers, polite gesture
Aksel in Copenhagen - Mia with energetic Jonas, bike, rides, city street
Jake in Adventure - Time with curious Finn, map, follows, treasure quest
Jack in Wonderland - White with curious Alice, clock, ticks, tea time
Sam on Beach - Lily with playful Max, frisbee, throws, sunny vacation
Freja in Stockholm - Leif with cheerful Ingrid, bread, slices, breakfast table
Mia on Patio - Leo with curious Finn, magazine, reads, coffee break
Theo in Montreal - Lena with cheerful Julian, snowball, throws, winter play
Theo in Havana - Camila with energetic Jorge, dance, practices, salsa night
Bloo in Foster's - Home with loyal Mac, prank, plans, friend reunion
Lucas at Cafe - Sophie with artistic Ben, notebook, sketches, creative moment
Aang on Air - Temple with wise Katara, staff, flies, bending mastery
Bruce at Cave - Alfred with stern Lucius, suit, wears, city patrol
Harry at Royal - Palace with charming William, speech, delivers, public event
Elias in Library - Nora with diligent Mateo, essay, writes, final paper
Talia at Zoo - Omar with curious Liza, animal, feeds, family trip
Link at Temple - Zelda with powerful Ganon, triforce, splits, ancient war
Sienna at Mall - Max with playful Ivy, outfit, picks, fashion spree
Danny at Amity - Park with helpful Tucker, ghost, hunts, paranormal event
Felix in Vienna - Greta with polite Otto, pastry, orders, breakfast cafe
Rania in Casablanca - Omar with thoughtful Noor, spice, selects, local market
Ariel under Sea - Triton with mighty Ursula, trident, glows, ocean world
Luz in Boiling - Isles with witty Eda, staff, wields, magical quest
Moana across Islands - Maui with strong Te Fiti, wave, crashes, ocean journey
Marceline in Ooo - Bubblegum with kind Peppermint, song, plays, candy kingdom
Rhea in Cape - Town with adventurous Zola, mountain, climbs, hiking adventure
Mulan in Battle - Shang with fiery Khan, sword, strikes, warrior honor
Lily at Pool - Ben with joyful Ethan, swim, starts, summer fun
Ines in Porto - Rafael with joyful Zora, wave, catches, surfing session
Bolt in Los - Angeles with clever Mittens, mission, completes, rescue operation
Ivy at Wedding - Tom with excited Lucas, dance, shares, celebration night
Zoe in Sydney - Max with friendly Finn, wave, catches, surf practice
Lina in Istanbul - Emre with polite Yasmin, tea, brews, afternoon chat
Marek in Warsaw - Ewa with kind Jarek, gift, buys, local shop
Tilda in Copenhagen - Aksel with artistic Elina, bike, rides, sunny afternoon
Tara in Studio - Lucas with creative Zane, song, records, album track
Chowder in Marzipan - City with clever Schnitzel, soup, stirs, cooking lesson
Ansel in Zurich - Elise with kind Lukas, chocolate, shares, afternoon tea
Leon on Terrace - Marta with gentle Alex, book, reads, quiet evening
Tiana in Bayou - Naveen with jazzy Louis, song, sings, riverboat ride
Stitch on Hawaii - Lilo with quirky Nani, surfboard, floats, family fun
Olivia at Studio - Mia with creative Emma, pose, strikes, photography session
Marek in Prague - Tomas with polite Nina, tram, takes, city commute
Buzz on Mission - Woody with Jessie, rope, swings, cowboy rescue
Ravi in Mumbai - Meera with energetic Karan, cricket, plays, street game
Olivia in Garden - Rachel with gentle Claire, herb, plants, spring morning
Henry on Boat - Kate with friendly Finn, fish, catches, lake trip
Woody in Daycare - Buzz with brave Jessie, toy, saves, escape mission
John on Street - Emma with loyal Jack, leash, holds, evening walk
Baloo in Jungle - Mowgli with curious Bagheera, vine, swings, forest fun
Ines in Lisbon - Hugo with patient Luca, wine, pours, vineyard lunch
Clara in Florence - Marco with polite Gianna, pasta, cooks, family dinner
Kai at Workshop - Hiro with eager Kenji, tool, builds, DIY project
Leif in Stockholm - Ingrid with polite Aksel, coffee, sips, morning fika
Leo in Venice - Bella with adventurous Sofia, gondola, rides, canal tour
Eben in Cape Town - Zuri with lively Mosi, drum, beats, street party
Meera in Mumbai - Karan with brave Ishaan, kite, flies, festive day
Theo in Amsterdam - Lars with cheerful Lotte, painting, finishes, art studio
Henry at Track - Ethan with fast Jake, sprint, runs, athletic meet
Zeno in Venice - Aldo with artistic Lucia, boat, rows, canal tour
Mona in Cairo - Amir with thoughtful Laila, lantern, lights, evening bazaar
Vera in Sydney - Ezra with friendly Naomi, beach, visits, summer day
Vera in Lisbon - Rafael with adventurous Zora, wave, surfs, ocean outing
Eben in Johannesburg - Zola with brave Mosi, soccer, plays, tournament match
Mario in Mushroom - Bowser under fiery Castle, coin, shines, rescue mission
Liam on Beach - Mia with energetic Jack, volleyball, plays, seaside fun
Mina in Cairo - Tariq with loyal Leila, lantern, lights, festival night
Simba in Savannah - Nala with wise Rafiki, cub, trains, jungle life
Vivian in New - York with fashionable Liam, coat, buys, winter sale
Rachel in Market - Mia with thoughtful Ethan, fruit, picks, grocery trip
Megan at Stadium - Ben with energetic Lucas, cheer, leads, final match
Otto in Zurich - Lena with joyful Theo, hike, starts, weekend trail
Riley in Mind - Joy with bright Sadness, memory, glows, emotional journey
Zeno in Zurich - Maia with bright Ansel, concert, attends, music night
Hassan in Istanbul - Zainab with caring Tariq, spice, selects, market visit
Elsa in Arendelle - Anna with joyful Olaf, flurry, swirls, winter storm
Omar in Cairo - Layla with lively Noor, market, walks, spice trade
Beast in Titans - Tower with witty Raven, tofu, eats, breakfast talk
Remy at Kitchen - Linguini with nervous Colette, dish, serves, restaurant feast
Thor in New - York with witty Valkyrie, thunder, strikes, cosmic battle
Marinette in Paris - Adrien with silly Plagg, charm, wears, hero transformation
Vera in Prague - Tomas with focused Anya, map, studies, city tour
Jonah in Cape Town - Zola with energetic Mosi, drum, beats, street festival
Owen at Conference - Omar with sharp Aisha, deal, closes, business success
Twilight in Canterlot - Rarity with elegant Pinkie, dress, sews, grand gala
Moana from Ocean - Maui with heart Te Fiti, canoe, sails, island journey
Tony in Workshop - Pepper with calm Rhodey, suit, upgrades, rescue operation
Carl at Falls - Russell with funny Dug, balloon, flies, adventure dream
Ash on Kanto - Pikachu with loyal Brock, pokeball, throws, pokemon battle
Po at Palace - Shifu with disciplined Tigress, scroll, reads, dragon prophecy
Luke from Tatooine - Vader with dark Palpatine, saber, fights, space war
Jorge in Havana - Camila with lively Tarek, dance, leads, salsa party
Emily on Beach - Sam with athletic Jack, volleyball, plays, sunset match
Nina in Prague - Viktor with calm Tomas, bridge, crosses, morning walk
Troy at School - Gabriella with talented Sharpay, song, sings, final performance
Kobe in Los - Angeles with loyal Vanessa, legacy, leaves, sports history
Adam in Chicago - Emma with busy Mia, train, misses, city rush
Lena in Berlin - Finn with artistic Magnus, sculpture, carves, studio session
Kai in Honolulu - Liko with playful Nia, snorkel, tries, reef exploration
Anna at Village - Elsa with cold Kristoff, ice, breaks, winter spell
Ralph on Internet - Vanellope with glitch Fix-It, arcade, shines, game glitch
Theo at Theater - Harper with curious Max, play, watches, evening show
Ethan at Bakery - Isla with cheerful Tariq, pastry, picks, breakfast treat
Percy at Camp - Chiron with wise Clarisse, prophecy, tells, godly mission
Simba at Oasis - Timon with lazy Pumbaa, bug, eats, carefree life
Moana on Ocean - Maui with powerful Te Fiti, wave, rides, island journey
